wid,word,image,practice,block,response_type,typing_rt,response,type_time,rt
w9e4dd03,toilet,../static/stimuli/images/footballfield/sun_aszinldqqvnpmwfh.jpg,False,2,intrusion,3487.3000000715256,dog,8351.399999976158,11838.700000047684
w9e4dd03,pig,../static/stimuli/images/gym/sun_awvqsdkrklypaaep.jpg,False,2,correct,1238.8000000715256,pig,662.5,1901.3000000715256
w9e4dd03,door,../static/stimuli/images/garage/sun_dswqerijtizeqkhu.jpg,False,2,intrusion,3374.8000000715256,drink,982.5999999046326,4357.399999976158
w9e4dd03,milk,../static/stimuli/images/castle/sun_apvtpjdfgucfbnsd.jpg,False,2,intrusion,2911.7000000476837,bird,973.7999999523163,3885.5
w9e4dd03,volcano,../static/stimuli/images/tenniscourt/sun_auqykplyynyhxcas.jpg,False,2,intrusion,10847.100000023842,food,1494.1000000238419,12341.200000047684
w9e4dd03,cat,../static/stimuli/images/house/sun_aahrslvfecptaudk.jpg,False,2,correct,4950.800000071526,pet,1062.7999999523163,6013.600000023842
w9e4dd03,sand,../static/stimuli/images/street/sun_avddlmbtwpvlxdol.jpg,False,2,intrusion,6342.899999976158,sky,870.0,7212.899999976158
w9e4dd03,candle,../static/stimuli/images/roof/sun_ajxjjpvulhilcwcy.jpg,False,2,other,7215.100000023842,fish,846.5,8061.600000023842
w9e4dd03,lawn,../static/stimuli/images/restaurant/sun_adozleohzzjtcftc.jpg,False,2,intrusion,5654.600000023842,yard,2446.5,8101.100000023842
w9e4dd03,apple,../static/stimuli/images/auditorium/sun_ahwuhefoqkvitxnk.jpg,False,2,intrusion,2896.600000023842,house,2838.100000023842,5734.700000047684
w9e4dd03,potato,../static/stimuli/images/campsite/sun_asbhlaoploqpjahx.jpg,False,2,intrusion,10895.5,mud,702.1999999284744,11597.699999928474
w9e4dd03,bed,../static/stimuli/images/underwater/sun_axctpftepdlenuoo.jpg,False,2,other,8247.200000047684,cloth,1070.5999999046326,9317.799999952316
w9e4dd03,heart,../static/stimuli/images/bookstore/sun_aauabdbreuzsnnrv.jpg,False,2,intrusion,7202.0,tree,1083.8999999761581,8285.899999976158
w9e4dd03,bear,../static/stimuli/images/musuem/sun_ayrwspiydnlwhouo.jpg,False,2,intrusion,3535.2000000476837,pot,1862.3999999761581,5397.600000023842
w9e4dd03,bag,../static/stimuli/images/skiresort/sun_agpfoakkwrzedbll.jpg,False,2,correct,3855.600000023842,bag,918.1999999284744,4773.799999952316
w9e4dd03,eye,../static/stimuli/images/grocery/sun_aczzweebuokhxnbb.jpg,False,2,intrusion,6718.200000047684,cup,790.7000000476837,7508.900000095367
w9e4dd03,cake,../static/stimuli/images/ranch/sun_amqejeymhjlanyvr.jpg,True,2,intrusion,12175.300000071526,bear,1406.1000000238419,13581.400000095367
w9e4dd03,snake,../static/stimuli/images/railway/sun_avugyywnswogxvlh.jpg,False,2,correct,1351.3000000715256,snake,894.6000000238419,2245.9000000953674
w9e4dd03,nut,../static/stimuli/images/temple/sun_ahuwbjbhgegvnlsq.jpg,False,2,intrusion,5751.300000071526,bread,1094.3999999761581,6845.700000047684
w9e4dd03,egg,../static/stimuli/images/laundryroom/sun_amdxqjichaqshdel.jpg,True,2,other,8558.899999976158,soup,758.1000000238419,9317.0
w9e4dd03,puzzle,../static/stimuli/images/airport/sun_akhqgzrrubgnwzpa.jpg,False,2,intrusion,7487.200000047684,loom,982.7000000476837,8469.900000095367
w9e4dd03,hay,../static/stimuli/images/vineyard/sun_aicvecccjhfzcjnt.jpg,False,2,other,9014.899999976158,corn,654.1000000238419,9669.0
w9e4dd03,bee,../static/stimuli/images/shoppingmall/sun_aqmgjlthiepxfbtd.jpg,False,2,other,7911.200000047684,grape,2646.6999999284744,10557.899999976158
w9e4dd03,duck,../static/stimuli/images/kitchen/sun_aizcycyyvgfcdnzp.jpg,False,2,intrusion,1039.5,fence,2254.2999999523163,3293.7999999523163
w9e4dd03,dog,../static/stimuli/images/beach/sun_acbeypdvskqxwbrf.jpg,False,2,intrusion,10022.899999976158,room,2718.0,12740.899999976158
w9e4dd03,hat,../static/stimuli/images/computerroom/sun_akbfsjykwgllwszc.jpg,False,2,intrusion,5743.399999976158,car,638.5,6381.899999976158
w9e4dd03,bird,../static/stimuli/images/warehouse/sun_aibppakephiqqqrb.jpg,False,2,intrusion,7607.200000047684,truck,854.3999999761581,8461.600000023842
w9e4dd03,jeans,../static/stimuli/images/volcano/sun_agobzgvhyhaxalcv.jpg,True,2,intrusion,8558.700000047684,beer,2510.7999999523163,11069.5
w9e4dd03,drink,../static/stimuli/images/pool/sun_aelfhlyhvuglfcha.jpg,False,2,timeout,8205.899999976158,,,
w9e4dd03,flower,../static/stimuli/images/waterfall/sun_adtiwvbnsxsyohuw.jpg,False,2,intrusion,9383.799999952316,deer,830.2999999523163,10214.099999904633
w9e4dd03,computer,../static/stimuli/images/tower/sun_amsimjdbtzyefqbh.jpg,False,2,correct,1629.7999999523163,computer,1191.7999999523163,2821.5999999046326
w9e4dd03,fence,../static/stimuli/images/windmill/sun_awjnichhcaunlnrz.jpg,False,2,intrusion,7391.899999976158,pond,1078.0,8469.899999976158
w9e4dd03,bone,../static/stimuli/images/sky/sun_aeglnxtxlevipkzh.jpg,False,2,other,2349.5999999046326,water,1120.3000000715256,3469.899999976158
w9e4dd03,horse,../static/stimuli/images/ziggurat/sun_aecdvzqgcesggjrp.jpg,False,2,other,7359.399999976158,train,1102.3000000715256,8461.700000047684
w9e4dd03,rabbit,../static/stimuli/images/river/sun_aahjsajmsehqtuox.jpg,False,2,intrusion,7053.899999976158,lint,2160.0,9213.899999976158
w9e4dd03,ear,../static/stimuli/images/forest/sun_abvrazjxgpqhvszy.jpg,False,2,other,8215.199999928474,fern,3782.600000023842,11997.799999952316
w9e4dd03,bone,../static/stimuli/images/sky/sun_aeglnxtxlevipkzh.jpg,False,2,other,8142.799999952316,glass,838.1000000238419,8980.899999976158
w9e4dd03,candle,../static/stimuli/images/roof/sun_ajxjjpvulhilcwcy.jpg,False,2,intrusion,12455.5,car,1238.1999999284744,13693.699999928474
