word,pRecall,Size,Animacy,nLet,nSyl,WFlog,CDlog,Prevalence,ONsize,AoA,Concreteness,NoF,BOI,Arousal,Valence,Dominance,Graspability,Pantomime,Action,Danger,Usefulness
BANJO,0.646341463,0.296803653,0.018867925,5,2,1.924279286,1.707570176,2.119034029,1,8.44,4.9,14,6.291666667,5.09,5.91,5.09,NaN,NaN,NaN,NaN,NaN
BANK,0.678571429,0.129213483,0.058823529,4,1,3.636989102,3.20167018,2.324437815,17,6.44,4.78,6,4.72,5.48,5.22,4.78,NaN,NaN,NaN,NaN,NaN
BANKER,0.696969697,0.071748879,0.904761905,6,2,2.387389826,2.206825876,2.428944333,16,6.89,4.43,9,NaN,5.44,4.54,5.32,NaN,NaN,NaN,NaN,NaN
BANNER,0.62745098,0.275510204,0.068965517,6,2,2.481442629,2.133538908,2.575829304,10,9.17,4.8,6,3.909090909,4.73,5.47,5.17,5.172413793,3.793103448,2.636363636,1.3125,2.533333333
BANQUET,0.660869565,0.112359551,0.063909774,7,2,2.421603927,2.212187604,2.253230737,0,8.35,4,9,4.538461538,5.33,6.3,5,NaN,NaN,NaN,NaN,NaN
BARK,0.605633803,0.791469194,0.155,4,1,2.44870632,2.318063335,2.575829304,17,5.17,4.52,5,3.592592593,5.65,4.63,4.82,NaN,NaN,NaN,NaN,NaN
BARLEY,0.698924731,0.87012987,0.436363636,6,2,1.672097858,1.531478917,2.3547638,3,9.8,4.59,18,4.541666667,4.12,5.34,5.79,NaN,NaN,NaN,NaN,NaN
BARN,0.680412371,0.077922078,0.045454545,4,1,2.84135947,2.597695186,2.575829304,13,4.5,4.79,13,5.173913043,3.98,5.68,5.65,NaN,NaN,NaN,NaN,NaN
BARRACUDA,0.727272727,0.389558233,0.94375,9,4,1.556302501,1.414973348,2.056083835,0,9.89,5,NaN,3.92,6.59,4.05,3.47,NaN,NaN,NaN,NaN,NaN
BARREL,0.629213483,0.218181818,0.051724138,6,2,2.73479983,2.572871602,2.26420281,4,7.72,4.86,25,5.304347826,4.51,5.12,4.94,NaN,NaN,NaN,NaN,NaN
BARTENDER,0.824324324,0.08411215,0.95256917,9,3,2.698100546,2.505149978,2.173394699,1,8.9,4.82,11,4.64,5.35,5.71,6.15,NaN,NaN,NaN,NaN,NaN
BASEBALL,0.782051282,0.869047619,0.048192771,8,2,3.110252917,2.80685803,2.232987962,0,4.83,4.86,18,6.037037037,5.26,5.88,6.05,NaN,NaN,NaN,NaN,NaN
BASEMENT,0.717391304,0.130434783,0.070588235,8,2,3.031408464,2.832508913,2.419760641,2,6.74,4.89,19,4.6,4.67,4.98,5.26,NaN,NaN,NaN,NaN,NaN
BASKET,0.64516129,0.537313433,0.021164021,6,2,2.828015064,2.632457292,2.330078923,4,5.67,5,19,6.391304348,4.22,5.6,5.3,6,5.068965517,3.03030303,1.28125,3.866666667
BASKETBALL,0.715686275,0.388888889,0.024271845,10,3,3.038222638,2.624282096,2.43021246,0,5.3,4.97,13,6.25,5.56,5.85,5.05,NaN,NaN,NaN,NaN,NaN
BASSINET,0.75862069,0.294573643,0.085470085,8,3,1.278753601,1.204119983,1.229339019,0,9.18,4.71,NaN,5.375,4.11,5.61,NaN,NaN,NaN,NaN,NaN,NaN
BATH,0.591836735,0.174757282,0.072625698,4,1,3.200850498,2.997823081,2.162606881,10,3.23,4.85,10,5.964285714,3.11,6.44,6.64,NaN,NaN,NaN,NaN,NaN
BATHROOM,0.523809524,0.145454545,0.018518519,8,2,3.497758718,3.263872677,2.433887042,0,3,4.52,14,6,4.52,5.04,5.25,NaN,NaN,NaN,NaN,NaN
BATHTUB,0.648275862,0.104166667,0.038961039,7,2,2.494154594,2.352182518,2.2460162,0,3.22,4.92,14,6.565217391,3.22,6.05,5.91,NaN,NaN,NaN,NaN,NaN
BATTERY,0.559633028,0.91796875,0.016877637,7,3,2.802089258,2.602059991,2.436808643,3,5.58,4.67,NaN,4.8,5.31,5.18,4.35,NaN,NaN,NaN,NaN,NaN
BAY,0.703703704,0.096969697,0.115646259,3,1,3.0923697,2.787460475,2.441505434,25,8.67,4.81,15,3.5,3.54,6.12,4.86,2.172413793,2.551724138,2.212121212,1.96875,3.366666667
