wid,word,image,practice,block,rt,typing_rt,response,type_time,response_type
w6dcb1db,pizza,../static/stimuli/images/airport/sun_aonhxkxmksvewqlr.jpg,False,3,1,1831,pizza,1830.1000000014901,correct
w6dcb1db,consumer,../static/stimuli/images/campsite/sun_agkgjmhhyqowlmdm.jpg,False,3,1,3226,consumer,3224.89999999851,correct
w6dcb1db,goat,../static/stimuli/images/waterfall/sun_awrontvhyysjfacv.jpg,False,3,1,1506,goat,1505.0999999996275,correct
w6dcb1db,application,../static/stimuli/images/pool/sun_aexdaltifheurhfa.jpg,False,3,1,4473,application,4472.699999999255,correct
w6dcb1db,electron,../static/stimuli/images/warehouse/sun_aadtsgkouwrqwvwl.jpg,False,3,1,2600,electron,2599.300000000745,correct
w6dcb1db,transplant,../static/stimuli/images/castle/sun_apbjjqvsvrybtdua.jpg,False,3,1,2996,transplant,2995.9000000003725,correct
w6dcb1db,elbow,../static/stimuli/images/theater/sun_alttxbnfjyibouth.jpg,False,3,1,2309,elbow,2308.5,correct
w6dcb1db,gravel,../static/stimuli/images/house/sun_aangbuylfvckqqoo.jpg,False,3,1,2106,gravel,2105.5,correct
w6dcb1db,dandelion,../static/stimuli/images/footballfield/sun_aadxnjugrvhqyufw.jpg,False,3,1,2304,dandelion,2303.2999999988824,correct
w6dcb1db,department,../static/stimuli/images/computerroom/sun_adsueslplqfnwvqd.jpg,False,3,1,4673,department,4672.5999999996275,correct
w6dcb1db,elephant,../static/stimuli/images/tower/sun_augaqwzgrksvvsgf.jpg,False,3,1,2153,elephant,2152.699999999255,correct
w6dcb1db,penguin,../static/stimuli/images/windmill/sun_adstnygbbvkhooog.jpg,False,3,1,1927,penguin,1926.0999999996275,correct
w6dcb1db,bug,../static/stimuli/images/bookstore/sun_aalyndhausktwxbc.jpg,False,3,1,1349,bug,1348.4000000003725,correct
w6dcb1db,scapegoat,../static/stimuli/images/shoppingmall/sun_aqmgjlthiepxfbtd.jpg,False,3,1,2750,scapegoat,2749.7000000011176,correct
w6dcb1db,tart,../static/stimuli/images/roof/sun_awyytziajjpreuke.jpg,False,3,1,1711,tart,1710.0999999996275,correct
w6dcb1db,ozone,../static/stimuli/images/auditorium/sun_amogjvmhqoxmxbyg.jpg,False,3,1,1876,ozone,1875.5,correct
w6dcb1db,shoelace,../static/stimuli/images/tenniscourt/sun_auqykplyynyhxcas.jpg,False,3,0,2672,shoelace,2671.4000000003725,correct
w6dcb1db,tiger,../static/stimuli/images/sky/sun_awdlpzaohypbcfjk.jpg,False,3,1,1726,tiger,1725.0,correct
w6dcb1db,suburb,../static/stimuli/images/laundryroom/sun_amdxqjichaqshdel.jpg,False,3,1,2257,suburb,2256.699999999255,correct
w6dcb1db,sand,../static/stimuli/images/grocery/sun_ahmoznrxomkgrris.jpg,False,3,1,2632,sand,2630.800000000745,correct
w6dcb1db,quill,../static/stimuli/images/restaurant/sun_anyzuaevahatwgti.jpg,False,3,1,1896,quill,1895.800000000745,correct
w6dcb1db,house,../static/stimuli/images/railway/sun_asgcpxncztcqwiyz.jpg,False,3,1,1732,house,1731.7999999988824,correct
w6dcb1db,lover,../static/stimuli/images/underwater/sun_aojrtoikxmtgzchi.jpg,False,3,1,1626,lover,1625.2999999988824,correct
w6dcb1db,banana,../static/stimuli/images/ranch/sun_adlocewvkpbsaigj.jpg,False,3,1,1980,banana,1979.5,correct
w6dcb1db,keeper,../static/stimuli/images/gym/sun_arcsudfqyrphzccy.jpg,False,3,1,1605,keeper,1603.9000000003725,correct
w6dcb1db,winner,../static/stimuli/images/ziggurat/sun_amuijzzaceciuwpo.jpg,False,3,1,1643,winner,1642.5999999996275,correct
w6dcb1db,major,../static/stimuli/images/beach/sun_aaapvfgggrgorgox.jpg,False,3,1,2460,major,2459.0999999996275,correct
wca3807d,scapegoat,../static/stimuli/images/garage/sun_danujvtkymldhxqn.jpg,True,1,2,4283,scapegoat,4280.699999988079,correct
wca3807d,department,../static/stimuli/images/shoppingmall/sun_abegyiikvbaqpooh.jpg,False,1,1,3174,department,3172.399999976158,correct
wca3807d,walrus,../static/stimuli/images/house/sun_aahrslvfecptaudk.jpg,False,1,1,2182,walrus,2180.399999976158,correct
wca3807d,cookie,../static/stimuli/images/skiresort/sun_aewjqygtlkyracri.jpg,False,1,2,5972,cold,5971.0,other
wca3807d,tart,../static/stimuli/images/castle/sun_alevmcaohaqqwlic.jpg,False,1,0,3247,tart,3246.2000000476837,correct
wca3807d,scenery,../static/stimuli/images/kitchen/sun_aovnyfewezfmgwke.jpg,False,1,1,2621,scenery,2619.899999976158,correct
