strength_first,strength_second,presentation_times,outcome,duration_first,duration_second
0.23799543087130443,0.43130761297036,[5250],1,5250,0
0.1057310161613777,0.1604678641586273,"[250, 750, 1500, 6250]",2,1750,7000
0.13613076508199481,0.44533640013974546,[13250],1,13250,0
0.1466190610659413,0.22260186901455506,[6750],1,6750,0
0.14000620847398568,0.3582112007164239,[12000],1,12000,0
0.17094897272986953,0.056799152064242964,"[2250, 750, 250, 11750]",-1,2500,12500
0.01900521936429772,0.06690469686334319,[15000],-1,15000,0
0.28479542973725486,0.05418981991853621,"[1500, 13500]",-1,1500,13500
0.2556497851177642,0.2149644644232705,[7750],1,7750,0
0.06071279232312919,0.3825877675674556,"[1250, 3500]",2,1250,3500
0.12899394450778484,0.5008902808285821,"[250, 2500]",2,250,2500
0.10332103675386345,0.15935978890415153,"[250, 7000]",2,250,7000
0.12574693066486797,0.21745313858778523,"[250, 1250, 1250, 4000]",2,1500,5250
0.6069127412344933,0.21682874039213035,"[750, 250, 1500]",1,2250,250
0.08590149680060065,0.24737253020284009,"[250, 1500, 1500, 750, 11000]",-1,12750,2250
0.1279926422114185,0.2061456647244943,"[750, 8750]",2,750,8750
0.03818361235455452,0.12808590967787134,"[3500, 5500]",2,3500,5500
0.22163103534315703,0.0552502317450571,"[250, 750, 5750]",1,6000,750
0.27895413310876704,0.2301157562920372,"[250, 250, 3500]",1,3750,250
0.3455375801135178,0.35222042262695236,"[250, 4250]",2,250,4250
0.09480155133837717,0.16347775118054556,[12250],1,12250,0
0.3558274387107205,0.11295003461117288,"[250, 1250, 3250]",1,3500,1250
0.14559996772110245,0.5055859443375358,"[750, 1750, 750, 250]",2,1500,2000
0.3215123586776273,0.17155552982434955,"[750, 9500]",2,750,9500
0.09327717334564765,0.6052465155505249,"[1250, 2000]",2,1250,2000
0.11457028391673627,0.32404438640802535,"[750, 3000]",2,750,3000
0.0431532483097528,0.1990145393851922,[15000],-1,15000,0
0.4826532304490601,0.111470204400278,"[250, 750, 2500]",1,2750,750
0.26318568787774305,0.036445438327283995,[4000],1,4000,0
0.47828313489345087,0.33830421928481563,"[1500, 4000]",2,1500,4000
0.2588432761524439,0.14434021643256284,[5250],1,5250,0
0.24135649871289275,0.31439136886684466,"[250, 4250]",2,250,4250
0.18324510088084695,0.16474225132679132,"[750, 500, 1250, 7250]",2,2000,7750
0.16601816875812445,0.2257201474314836,"[250, 5250]",2,250,5250
0.19413305293117797,0.17792898679089292,"[500, 750, 7000]",1,7500,750
0.4271256595481365,0.4328774684002356,"[250, 2250]",2,250,2250
0.3911308248815112,0.09872687299424289,"[500, 1250, 2750]",1,3250,1250
0.48371561121389106,0.550647840225711,[3500],1,3500,0
