wid,word,image,pratice,word_type,rt,response,type_time,response_type,typing_rt
w216da7e,tulip,../static/stimuli/images/house/sun_awvfftwqwfbjqmmu.jpg,False,high,0,tulip,1594.3950000219047,correct,926.0
w216da7e,bed,../static/stimuli/images/downtown/sun_ahtmvwmmrlbrfchd.jpg,False,high,1,bed,1673.7250000005588,correct,1468.0
w216da7e,territory,../static/stimuli/images/castle/sun_aduovtnrsmdtcpie.jpg,False,low,1,territory,2316.9549999875017,correct,1322.0
w216da7e,quill,../static/stimuli/images/river/sun_aiazxjumlgdcrfpn.jpg,False,high,1,calm,9054.860000032932,other,8707.0
w216da7e,patient,../static/stimuli/images/musuem/sun_alsgupdkmpsptlos.jpg,False,low,1,patient,2983.780000009574,correct,2353.0
w216da7e,stairs,../static/stimuli/images/forest/sun_almbxcurjahdxery.jpg,False,high,1,stairs,1518.4100000187755,correct,999.0
w216da7e,shoelace,../static/stimuli/images/airport/sun_aelkzcvlquyyzxlu.jpg,False,high,1,shoelace,1877.9799999902025,correct,1141.0
w216da7e,stable,../static/stimuli/images/kitchen/sun_axvexejcndazoqxl.jpg,False,low,1,stable,1732.205000007525,correct,934.0
w216da7e,grizzly,../static/stimuli/images/beach/sun_abrqamdurwzygcjy.jpg,False,low,1,grizzly,2043.2549999677576,correct,1006.0
w216da7e,vagrant,../static/stimuli/images/gym/sun_arcsudfqyrphzccy.jpg,False,low,0,vagrant,1797.0799999893643,correct,1121.0
w216da7e,atom,../static/stimuli/images/auditorium/sun_amnlhuknqqtssrhl.jpg,False,low,1,atom,1308.1449999590404,correct,1042.0
w0d1da6b,tractor,../static/stimuli/images/downtown/sun_bubeehcgngkyqymr.jpg,True,high,3,tractor,2774.460000000021,correct,1519.0
w0d1da6b,finger,../static/stimuli/images/railway/sun_aqddawzjzkqycxjc.jpg,False,high,2,finger,2051.185000000056,correct,1346.0
w0d1da6b,cactus,../static/stimuli/images/house/sun_aangbuylfvckqqoo.jpg,False,high,1,cactus,2269.694999999949,correct,1293.0
w0d1da6b,cue,../static/stimuli/images/gym/sun_arcsudfqyrphzccy.jpg,False,low,1,cue,1742.6299999999464,correct,1483.0
w0d1da6b,electron,../static/stimuli/images/kitchen/sun_ajmwiafzffjerzeb.jpg,False,low,1,microscope,4551.360000000044,other,1756.0
w0d1da6b,stairs,../static/stimuli/images/airport/sun_aqytxlpqgdgggfum.jpg,False,high,2,stairs,2915.5999999999185,correct,1437.0
w0d1da6b,parrot,../static/stimuli/images/greenhouse/sun_bxiwqwbzndahlxxp.jpg,False,high,2,parrot,2165.9650000000256,correct,1470.0
w0d1da6b,transplant,../static/stimuli/images/beach/sun_abylvpgvhrpaxgnk.jpg,False,low,1,transplant,2571.8799999999464,correct,1188.0
w0d1da6b,walrus,../static/stimuli/images/river/sun_awyqyxlrmqvjlwnd.jpg,False,high,2,walrus,2120.5849999999627,correct,1197.0
w0d1da6b,permit,../static/stimuli/images/castle/sun_aoguwxhjirnhxsgn.jpg,False,low,2,permit,2270.929999999993,correct,1669.0
w0d1da6b,rebel,../static/stimuli/images/auditorium/sun_ahwnrxacspjqqqfm.jpg,False,low,1,rebel,2155.3099999999977,correct,1344.0
w0d1da6b,elephant,../static/stimuli/images/footballfield/sun_aedcjgjztgoialpm.jpg,False,high,1,elephant,2235.085000000021,correct,1256.0
w0d1da6b,horse,../static/stimuli/images/grocery/sun_atlvleypygwzuszx.jpg,False,high,1,horse,1820.6849999999977,correct,1240.0
w0d1da6b,community,../static/stimuli/images/campsite/sun_akmknzqdbcxpznth.jpg,False,low,1,community,2410.289999999921,correct,1182.0
w0d1da6b,magazine,../static/stimuli/images/bookstore/sun_aamunjvxvlcyagxh.jpg,False,high,1,magazines,3450.015000000014,correct,1315.0
w0d1da6b,bed,../static/stimuli/images/forest/sun_aoqjnzwgdikwayvw.jpg,False,high,1,bed,1406.8600000000442,correct,1118.0
w0d1da6b,follower,../static/stimuli/images/musuem/sun_atiiscmhrcnttlop.jpg,False,low,2,follower,3181.6449999999604,correct,1598.0
