wid,word,image,practice,block,prime,prime_related,typing_rt,response,type_time,rt,response_type
w5308ad9,potato,../static/stimuli/images/kitchen/sun_aizcycyyvgfcdnzp.jpg,False,-1,False,False,4911.39999999851,bird,1374.0,6285.39999999851,other
w5308ad9,toilet,../static/stimuli/images/railway/sun_aqlgoveofhhmvrdh.jpg,False,-1,False,False,6016.800000000745,bird,973.7999999970198,6990.599999997765,other
w5308ad9,window,../static/stimuli/images/skiresort/sun_aqtrvlzivijhozcl.jpg,False,-1,False,False,4968.0,,0.0,4968.0,empty
w5308ad9,rabbit,../static/stimuli/images/shoppingmall/sun_abmhoudmvlbwstuf.jpg,False,-1,False,False,3242.099999997765,snake,1419.4000000022352,4661.5,other
w5308ad9,truck,../static/stimuli/images/beach/sun_aabhqzsffoeycgje.jpg,False,-1,False,False,2228.0,truck,1693.5,3921.5,correct
w5308ad9,volcano,../static/stimuli/images/sky/sun_abbtimwgskvvaeps.jpg,False,-1,False,False,11416.20000000298,,0.09999999776482582,11416.300000000745,empty
w5308ad9,egg,../static/stimuli/images/forest/sun_anfpmkqemzwfixbm.jpg,False,-1,False,False,2462.300000000745,snake,2838.5,5300.800000000745,other
w5308ad9,door,../static/stimuli/images/waterfall/sun_amyxrbqiudksvqun.jpg,False,-1,False,False,2147.300000000745,,0.10000000149011612,2147.400000002235,empty
w5308ad9,fence,../static/stimuli/images/laundryroom/sun_dgpgttfvjctszkzz.jpg,False,-1,False,False,1208.9000000022352,,0.0,1208.9000000022352,empty
w5308ad9,cat,../static/stimuli/images/auditorium/sun_amnlhuknqqtssrhl.jpg,False,-1,False,False,881.3999999985099,,0.10000000149011612,881.5,empty
w5308ad9,computer,../static/stimuli/images/bookstore/sun_auwghripdoxzluuk.jpg,False,-1,False,False,4467.199999999255,computer,3114.0,7581.199999999255,correct
w5308ad9,eye,../static/stimuli/images/computerroom/sun_akbfsjykwgllwszc.jpg,False,-1,False,False,856.6000000014901,,0.0,856.6000000014901,empty
w5308ad9,bag,../static/stimuli/images/restaurant/sun_ajsstbpxnharlnnf.jpg,False,-1,False,False,869.1000000014901,,0.0,869.1000000014901,empty
w5308ad9,bed,../static/stimuli/images/garage/sun_djtxkmtcichrbudp.jpg,False,-1,False,False,1073.5999999977648,,0.0,1073.5999999977648,empty
w5308ad9,bread,../static/stimuli/images/greenhouse/sun_aahkpmrwfcwqyfcf.jpg,False,-1,False,False,802.5,,0.0,802.5,empty
w5308ad9,lion,../static/stimuli/images/campsite/sun_agjhcohmxuuaimig.jpg,False,-1,False,False,1651.199999999255,lion,1698.199999999255,3349.39999999851,correct
w5308ad9,flower,../static/stimuli/images/theater/sun_abnbylturqcwwiuz.jpg,False,-1,False,False,621.0,,0.0,621.0,empty
w5308ad9,snake,../static/stimuli/images/vineyard/sun_agfdrmftdzokxtnc.jpg,False,-1,False,False,4159.099999997765,dog,770.9000000022352,4930.0,other
w5308ad9,hat,../static/stimuli/images/temple/sun_aaexbfhvrzmbsfus.jpg,False,-1,False,False,891.8000000007451,,0.0,891.8000000007451,empty
w5308ad9,bone,../static/stimuli/images/warehouse/sun_abdmrgvlsfpsgxyu.jpg,False,-1,False,False,595.9000000022352,,0.0,595.9000000022352,empty
w5308ad9,ear,../static/stimuli/images/volcano/sun_abmqyijpgbakeqkm.jpg,False,-1,False,False,970.1999999992549,,0.0,970.1999999992549,empty
w5308ad9,drink,../static/stimuli/images/windmill/sun_alrghzshdjgnywto.jpg,False,-1,False,False,2740.300000000745,milk,2795.599999997765,5535.89999999851,intrusion
w5308ad9,bee,../static/stimuli/images/ranch/sun_ajxvkybqisznlxgg.jpg,False,-1,False,False,2982.800000000745,hay,962.0,3944.800000000745,intrusion
w5308ad9,nut,../static/stimuli/images/street/sun_amjwoyuxrszlicsb.jpg,False,-1,False,False,917.5,,0.09999999776482582,917.5999999977648,empty
w5308ad9,puzzle,../static/stimuli/images/subway/sun_apsbdxitmzdgpeyn.jpg,False,-1,False,False,606.3000000007451,,0.0,606.3000000007451,empty
w5308ad9,apple,../static/stimuli/images/grocery/sun_akqpikmgyzrpoilg.jpg,False,-1,False,False,2529.0,,0.0,2529.0,empty
w5308ad9,candle,../static/stimuli/images/ziggurat/sun_aenpmgoxmkmwaoiq.jpg,False,-1,False,False,908.8000000007451,,0.0,908.8000000007451,empty
w5308ad9,lawn,../static/stimuli/images/musuem/sun_aspbwvercyqvrrkn.jpg,False,-1,False,False,809.6000000014901,,0.0,809.6000000014901,empty
w5308ad9,bird,../static/stimuli/images/tenniscourt/sun_avbthoqreldjpsco.jpg,False,-1,False,False,3189.2000000029802,,0.0,3189.2000000029802,empty
w5308ad9,pig,../static/stimuli/images/river/sun_ahmmzoezbuevqzjm.jpg,False,-1,False,False,1448.5,,0.0,1448.5,empty
w5308ad9,cake,../static/stimuli/images/pool/sun_alkvkavnnunmdavq.jpg,False,-1,False,False,777.1000000014901,,0.09999999776482582,777.1999999992549,empty
w5308ad9,jeans,../static/stimuli/images/airport/sun_aqogketumcqznmzs.jpg,False,-1,False,False,804.0999999977648,,0.0,804.0999999977648,empty
w5308ad9,milk,../static/stimuli/images/roof/sun_awskptrfuzjyjwes.jpg,False,-1,False,False,825.4000000022352,,0.0,825.4000000022352,empty
w5308ad9,hay,../static/stimuli/images/footballfield/sun_afihcbvbdxmnexyh.jpg,False,-1,False,False,1489.9000000022352,hay,2350.5,3840.400000002235,intrusion
w5308ad9,sand,../static/stimuli/images/house/sun_afejjgypgnszvwza.jpg,False,-1,False,False,525.0999999977648,,0.0,525.0999999977648,empty
w5308ad9,dog,../static/stimuli/images/tower/sun_amsimjdbtzyefqbh.jpg,False,-1,False,False,1770.199999999255,bird,1122.5,2892.699999999255,other
w5308ad9,duck,../static/stimuli/images/downtown/sun_bzwgvgvsqqpbjfwc.jpg,False,-1,False,False,1237.2000000029802,,0.09999999776482582,1237.300000000745,empty
w5308ad9,dog,../static/stimuli/images/tower/sun_amsimjdbtzyefqbh.jpg,False,-1,True,True,3781.60000000149,dog,2901.099999997765,6682.699999999255,correct
w5308ad9,bread,../static/stimuli/images/greenhouse/sun_aahkpmrwfcwqyfcf.jpg,False,-1,True,False,2191.199999999255,bird,2131.60000000149,4322.800000000745,other
w5308ad9,heart,../static/stimuli/images/underwater/sun_aufltyunbkquxrih.jpg,False,-1,True,True,1449.800000000745,heart,2256.10000000149,3705.900000002235,intrusion
w5308ad9,truck,../static/stimuli/images/beach/sun_aabhqzsffoeycgje.jpg,False,-1,True,False,1567.800000000745,truck,2501.5,4069.300000000745,correct
w5308ad9,window,../static/stimuli/images/skiresort/sun_aqtrvlzivijhozcl.jpg,False,-1,True,False,2917.0,window,2858.5,5775.5,correct
w5308ad9,bird,../static/stimuli/images/tenniscourt/sun_avbthoqreldjpsco.jpg,False,-1,True,True,6691.300000000745,,0.09999999776482582,6691.39999999851,empty
w5308ad9,candle,../static/stimuli/images/ziggurat/sun_aenpmgoxmkmwaoiq.jpg,False,-1,True,False,2707.699999999255,candle,1494.800000000745,4202.5,correct
